Date,close,MSI,MACD,OSC
2020-08-14,"11,777.64",43.73772376,13.6255476,7.187349515
2020-08-15,"11,859.09",49.21907924,15.006897,5.481355479
2020-08-16,"11,918.04",53.31440304,16.35539117,4.095323801
2020-08-17,"12,305.01",59.60419314,17.55220996,6.289790098
2020-08-18,"11,956.14",64.53880297,18.79161295,4.93460983
2020-08-19,"11,759.73",65.39006062,19.94214984,0.8512576529
2020-08-20,"11,857.67",61.04579587,20.68421325,-4.344264747
2020-08-21,"11,529.71",60.6810808,20.6833334,-0.3647150756
2020-08-22,"11,673.45",56.82070427,20.41784248,-3.860376531
2020-08-23,"11,650.99",56.69083907,19.66920454,-0.1298651926
2020-08-24,"11,760.61",54.9512104,18.84815475,-1.739628672
2020-08-25,"11,327.78",55.7439321,17.85131454,0.7927216957
2020-08-26,"11,470.09",52.09784975,16.93011764,-3.646082348
2020-08-27,"11,320.96",52.17482036,15.7245908,0.07697060641
2020-08-28,"11,538.18",47.83461639,14.6070322,-4.340203971
2020-08-29,"11,476.07",48.33942917,13.2187631,0.5048127858
2020-08-30,"11,713.08",50.58420722,12.02071667,2.244778049
2020-08-31,"11,657.27",53.40543168,11.1241587,2.821224458
2020-09-01,"11,925.94",54.80541169,10.52001114,1.399980016
2020-09-02,"11,397.77",56.58322781,10.0384693,1.777816118
2020-09-03,"10,171.66",53.27520472,9.688614519,-3.308023096
2020-09-04,"10,470.58",45.63532921,9.040212323,-7.639875508
2020-09-05,"10,166.63",38.62991927,7.819733784,-7.005409942
2020-09-06,"10,258.09",26.90200443,6.215568507,-11.72791483
2020-09-07,"10,378.37",20.99498749,3.952351014,-5.907016943
2020-09-08,"10,126.60",13.99437333,1.662918851,-7.000614161
2020-09-09,"10,230.27",4.393736617,-0.7082000006,-9.600636712
2020-09-10,"10,346.98",0.5180838082,-3.323706303,-3.875652809
2020-09-11,"10,397.12",-0.7433294998,-5.644184042,-1.261413308
2020-09-12,"10,446.54",-1.363260968,-7.498526534,-0.6199314681
2020-09-13,"10,335.13",0.06837419437,-8.9153589,1.431635162
2020-09-14,"10,678.52",-3.55305935,-9.809608701,-3.621433545
2020-09-15,"10,785.19",-3.776759471,-10.68733064,-0.2237001212
2020-09-16,"10,955.38",-7.794279015,-11.2710566,-4.017519544
2020-09-17,"10,944.91",-10.93542657,-11.92043256,-3.141147552
2020-09-18,"10,935.27",-14.61157033,-12.54393338,-3.676143761
2020-09-19,"11,081.26",-19.32675513,-13.18273401,-4.715184802
2020-09-20,"10,921.11",-21.3067441,-13.90912834,-1.979988967
2020-09-21,"10,415.95",-27.23824068,-14.47767996,-5.931496584
2020-09-22,"10,535.13",-36.71861879,-15.23130639,-9.480378113
2020-09-23,"10,234.52",-43.68588872,-16.4044478,-6.96726993
2020-09-24,"10,749.99",-54.56961481,-17.69242401,-10.88372608
2020-09-25,"10,691.84",-58.74749227,-19.36811659,-4.177877465
2020-09-26,"10,731.06",-59.97097978,-20.79353984,-1.223487509
2020-09-27,"10,777.98",-58.96234644,-21.77096117,1.008633342
2020-09-28,"10,694.37",-60.45029294,-22.2081842,-1.487946498
2020-09-29,"10,841.27",-62.36537547,-22.41634973,-1.915082528
2020-09-30,"10,779.20",-61.93608389,-22.47675552,0.4292915782
2020-10-01,"10,621.26",-62.00449891,-22.23369115,-0.06841501849
2020-10-02,"10,575.67",-65.79811099,-21.79533831,-3.793612084
2020-10-03,"10,553.77",-73.1577985,-21.50614388,-7.359687514
2020-10-04,"10,673.18",-79.52968207,-21.62158037,-6.371883569
2020-10-05,"10,796.15",-83.62513385,-21.97392068,-4.095451779
2020-10-06,"10,605.93",-86.65375919,-22.32625845,-3.028625339
2020-10-07,"10,670.07",-94.6551048,-22.589476,-8.001345606
2020-10-08,"10,930.36",-99.1681195,-23.17655463,-4.513014707
2020-10-09,"11,056.84",-97.97604622,-23.73240881,1.192073286
2020-10-10,"11,302.10",-91.51208306,-23.80235813,6.463963153
2020-10-11,"11,375.27",-84.97297389,-23.070266,6.539109174
2020-10-12,"11,535.70",-77.00231041,-21.71214219,7.970663476
2020-10-13,"11,428.79",-68.84752133,-19.76481686,8.154789087
2020-10-14,"11,429.41",-64.57607879,-17.36337005,4.271442538
2020-10-15,"11,506.90",-63.64625476,-14.94327961,0.929824027
2020-10-16,"11,325.50",-65.47816368,-12.80272958,-1.83190892
2020-10-17,"11,367.02",-70.96219473,-11.1258956,-5.484031046
2020-10-18,"11,513.13",-73.44137004,-10.12281851,-2.479175308
2020-10-19,"11,760.85",-72.93899781,-9.419341119,0.5023722245
2020-10-20,"11,923.34",-74.08991431,-8.720765422,-1.150916496
2020-10-21,"12,811.11",-79.44863808,-8.165877341,-5.35872377
2020-10-22,"12,985.93",-79.27824345,-8.065554076,0.1703946296
2020-10-23,"12,940.13",-74.88130456,-7.881445347,4.396938888
2020-10-24,"13,127.42",-72.69265502,-7.296630616,2.188649535
2020-10-25,"13,042.12",-69.30303613,-6.580696825,3.38961889
2020-10-26,"13,071.82",-69.60353654,-5.674389393,-0.3005004056
2020-10-27,"13,663.92",-73.25758644,-4.923625603,-3.654049901
2020-10-28,"13,286.15",-75.16065091,-4.570801822,-1.903064471
2020-10-29,"13,466.42",-81.45710752,-4.394095434,-6.296456605
2020-10-30,"13,570.48",-89.67843212,-4.707856536,-8.221324597
2020-10-31,"13,809.86",-99.30441222,-5.555862136,-9.625980107
2020-11-01,"13,768.19",-107.0832429,-6.924823772,-7.778830668
2020-11-02,"13,569.90",-111.9438666,-8.538990193,-4.860623744
2020-11-03,"14,037.95",-120.3851203,-10.09408213,-8.441253705
2020-11-04,"14,162.73",-129.7456064,-11.87080309,-9.360486054
2020-11-05,"15,610.24",-137.6452337,-13.87424657,-7.899627281
2020-11-06,"15,601.63",-139.7563286,-15.91595465,-2.111094894
2020-11-07,"14,838.97",-136.2076728,-17.50261151,3.548655771
2020-11-08,"15,484.18",-137.0376735,-18.26317513,-0.8300006893
2020-11-09,"15,336.35",-132.5072754,-18.71714184,4.530398041
2020-11-10,"15,315.85",-131.2163885,-18.49811372,1.290886965
2020-11-11,"15,708.31",-125.9017379,-18.01272905,5.31465056
2020-11-12,"16,308.40",-121.1733427,-17.00320791,4.728395181
2020-11-13,"16,342.14",-119.7698379,-15.64130988,1.403504856
2020-11-14,"16,084.31",-113.9161318,-14.28408671,5.853706104
2020-11-15,"15,969.75",-111.8867721,-12.5909913,2.029359641
2020-11-16,"16,724.30",-112.8373755,-10.95911872,-0.9506033839
2020-11-17,"17,683.04",-109.5310943,-9.631527444,3.306281247
2020-11-18,"17,792.58",-102.7017081,-8.2178819,6.8293862
2020-11-19,"17,825.94",-99.79421407,-6.471879433,2.907494004
2020-11-20,"18,682.28",-98.05447537,-4.798238327,1.739738707
2020-11-21,"18,719.77",-91.52186613,-3.293517697,6.532609234
2020-11-22,"18,442.99",-81.62401564,-1.555952732,9.897850488
2020-11-23,"18,390.13",-75.89837314,0.6126911143,5.725642508
2020-11-24,"19,169.90",-66.56859666,2.761535227,9.329776473
2020-11-25,"18,727.64",-56.30393453,5.157887737,10.26466213
2020-11-26,"17,167.14",-50.99126848,7.795425997,5.312666057
2020-11-27,"17,152.92",-50.83912239,10.19683901,0.1521460836
2020-11-28,"17,740.03",-51.59998162,11.97422166,-0.7608592239
2020-11-29,"18,197.32",-48.13765608,13.16960424,3.462325534
2020-11-30,"19,709.54",-42.88181921,14.2322735,5.255836875
2020-12-01,"18,779.14",-34.01880932,15.32192701,8.863009887
2020-12-02,"19,228.52",-30.41598156,16.70805603,3.602827762
2020-12-03,"19,449.88",-22.42862365,17.89105441,7.987357907
2020-12-04,"18,667.31",-14.33242926,19.25118649,8.096194392
2020-12-05,"19,159.90",-12.68366065,20.74328056,1.648768614
2020-12-06,"19,382.27",-6.055684915,21.80743517,6.627975731
2020-12-07,"19,178.09",-2.103626978,22.92138416,3.952057937
2020-12-08,"18,317.92",-1.059239044,23.84818775,1.044387934
2020-12-09,"18,551.52",-5.706130903,24.3858547,-4.646891859
2020-12-10,"18,247.86",-6.995832525,24.15851002,-1.289701622
2020-12-11,"18,035.19",-12.80868799,23.60219814,-5.812855462
2020-12-12,"18,814.74",-22.0597757,22.43366676,-9.251087717
2020-12-13,"19,164.80",-25.10429656,20.5245179,-3.044520857
2020-12-14,"19,276.62",-24.22698015,18.55198059,0.8773164128
2020-12-15,"19,442.24",-23.60087945,16.86511215,0.6261006964
2020-12-16,"21,370.88",-21.8926987,15.40124193,1.708180755
2020-12-17,"22,824.13",-16.56788039,14.21508746,5.324818302
2020-12-18,"23,139.10",-13.27746108,13.54854069,3.290419313
2020-12-19,"23,856.96",-7.342905001,13.1344017,5.934556081
2020-12-20,"23,479.00",-2.377284764,13.13366593,4.965620237
2020-12-21,"22,729.94",-1.664932775,13.37953591,0.7123519887
2020-12-22,"23,834.14",-5.292686898,13.47652155,-3.627754123
2020-12-23,"23,234.97",-6.913092977,13.10953536,-1.620406078
2020-12-24,"23,725.27",-13.50911445,12.54335099,-6.596021469
2020-12-25,"24,705.61",-13.62630697,11.43063672,-0.1171925213
2020-12-26,"26,458.97",-12.90351478,10.41923969,0.7227921918
2020-12-27,"26,259.12",-12.56614961,9.565755464,0.3373651605
2020-12-28,"27,037.98",-10.86001139,8.814972105,1.706138223
2020-12-29,"27,370.36",-5.992102891,8.262398197,4.8679085
2020-12-30,"28,889.29",-4.545220347,8.123634722,1.446882545
2020-12-31,"28,980.45",-4.130549406,8.037760696,0.4146709403
2021-01-01,"29,404.04",-4.100492743,7.911961227,0.03005666362
2021-01-02,"32,223.72",-2.099431569,7.725633272,2.001061174
2021-01-03,"33,096.32",-1.123166845,7.651237238,0.9762647241
2021-01-04,"32,028.22",2.472015591,7.583634828,3.595182436
2021-01-05,"34,052.65",5.888396759,7.731041968,3.416381167
