Date,close,Index (MSI),MACD
3-1-2019,"3,787.20",-112.08,24.89
4-1-2019,"3,820.78",-108.67,26.32
5-1-2019,"3,796.12",-103.24,27.42
6-1-2019,"4,040.95",-98.94,28.40
7-1-2019,"4,006.06",-89.60,29.19
8-1-2019,"3,993.48",-85.02,30.22
9-1-2019,"4,001.71",-80.42,31.04
10-1-2019,"3,625.97",-75.84,31.71
11-1-2019,"3,635.02",-76.98,32.23
12-1-2019,"3,617.97",-76.62,32.18
13-1-2019,"3,514.22",-77.27,31.80
14-1-2019,"3,664.04",-82.89,31.09
15-1-2019,"3,581.70",-81.82,29.74
16-1-2019,"3,607.34",-84.94,28.42
17-1-2019,"3,641.02",-83.94,26.81
18-1-2019,"3,609.32",-80.10,25.33
19-1-2019,"3,683.41",-80.26,24.19
20-1-2019,"3,534.25",-74.95,23.00
21-1-2019,"3,532.23",-74.87,22.23
22-1-2019,"3,576.72",-76.28,21.39
23-1-2019,"3,553.61",-75.34,20.36
24-1-2019,"3,570.31",-76.72,19.41
25-1-2019,"3,560.82",-76.65,18.33
26-1-2019,"3,556.51",-78.55,17.28
27-1-2019,"3,531.82",-80.83,16.11
28-1-2019,"3,430.04",-86.23,14.82
29-1-2019,"3,394.60",-96.15,13.22
30-1-2019,"3,436.60",-106.10,11.02
31-1-2019,"3,411.58",-109.92,8.38
1-2-2019,"3,437.85",-117.58,5.91
2-2-2019,"3,466.58",-121.29,3.29
3-2-2019,"3,415.20",-122.00,0.91
4-2-2019,"3,411.45",-125.94,-1.02
5-2-2019,"3,429.82",-129.93,-2.84
6-2-2019,"3,366.55",-134.63,-4.55
7-2-2019,"3,359.66",-141.62,-6.21
8-2-2019,"3,622.38",-145.74,-8.00
9-2-2019,"3,624.04",-142.58,-9.64
10-2-2019,"3,648.38",-137.60,-10.56
11-2-2019,"3,589.84",-130.01,-10.77
12-2-2019,"3,587.88",-126.31,-10.20
13-2-2019,"3,575.52",-121.56,-9.34
14-2-2019,"3,561.64",-118.54,-8.19
15-2-2019,"3,566.85",-119.11,-6.95
16-2-2019,"3,581.17",-117.44,-5.94
17-2-2019,"3,625.62",-113.88,-4.95
18-2-2019,"3,868.62",-106.50,-3.84
19-2-2019,"3,889.15",-94.51,-2.33
20-2-2019,"3,939.67",-83.83,-0.17
21-2-2019,"3,899.20",-70.53,2.38
22-2-2019,"3,942.23",-62.94,5.41
23-2-2019,"4,111.96",-51.49,8.33
24-2-2019,"3,732.40",-36.79,11.43
25-2-2019,"3,819.89",-29.77,14.91
26-2-2019,"3,797.68",-18.98,18.02
27-2-2019,"3,799.37",-9.49,21.11
28-2-2019,"3,792.17",-2.48,24.05
1-3-2019,"3,806.51",3.28,26.64
2-3-2019,"3,810.63",9.64,28.83
3-3-2019,"3,787.94",12.79,30.72
4-3-2019,"3,700.08",12.87,32.10
5-3-2019,"3,844.82",8.53,32.82
6-3-2019,"3,851.40",10.13,32.67
7-3-2019,"3,855.74",10.81,32.31
8-3-2019,"3,843.52",12.49,31.71
